chr	start	end	strand	transcript_id	gene_name	TSS
chr1	1231490	1231550	-	NR_106784	MIR6726	1231550
chr1	1240109	1240192	-	NR_145806	SNORD167	1240192
chr1	1243960	1247057	+	NM_001346116	PUSL1	1243960
chr1	1243960	1247057	+	NR_144369	PUSL1	1243960
chr1	1243977	1247057	+	NM_153339	PUSL1	1243977
chr1	1246965	1260067	-	NM_001256460	INTS11	1260067
chr1	1246965	1260067	-	NM_001256456	INTS11	1260067
chr1	1246965	1260067	-	NM_001256462	INTS11	1260067
chr1	1246980	1260040	-	NM_017871	INTS11	1260040
chr1	1246980	1260040	-	NM_001256463	INTS11	1260040
chr1	1247882	1247946	-	NR_106785	MIR6727	1247946
chr1	1260182	1264276	+	NM_001029885	CPTP	1260182
chr1	1266660	1270694	+	NM_152228	TAS1R3	1266660
chr1	1270658	1284798	-	NM_004421	DVL1	1284798
chr1	1270658	1284798	-	NM_001330311	DVL1	1284798
chr1	1275030	1275088	-	NR_106866	MIR6808	1275088
chr1	1288069	1294174	-	NM_001282584	MXRA8	1294174
chr1	1288069	1298921	-	NM_001282582	MXRA8	1298921
chr1	1288069	1293927	-	NM_001282585	MXRA8	1293927
chr1	1288071	1297179	-	NM_001282583	MXRA8	1297179
chr1	1288071	1293935	-	NM_032348	MXRA8	1293935
chr1	1309116	1310587	-	NM_017900	AURKAIP1	1310587
chr1	1309116	1310587	-	NM_001127230	AURKAIP1	1310587
chr1	1309116	1310587	-	NM_001127229	AURKAIP1	1310587
chr1	1321091	1334715	-	NM_030937	CCNL2	1334715
chr1	1321091	1334715	-	NM_001350498	CCNL2	1334715
chr1	1321091	1334715	-	NM_001350499	CCNL2	1334715
chr1	1321091	1334715	-	NM_001350500	CCNL2	1334715
chr1	1321091	1334715	-	NR_146722	CCNL2	1334715
chr1	1321091	1334715	-	NM_001320153	CCNL2	1334715
chr1	1321091	1334715	-	NM_001320155	CCNL2	1334715
chr1	1321091	1333722	-	NM_001350497	CCNL2	1333722
chr1	1321091	1334715	-	NR_146723	CCNL2	1334715
chr1	1321091	1334715	-	NR_135154	CCNL2	1334715
chr1	1327668	1334722	-	NM_001039577	CCNL2	1334722
chr1	1334910	1337426	+	NR_015434	MRPL20-AS1	1334910
chr1	1337289	1342673	-	NM_001318485	MRPL20	1342673
chr1	1337289	1342673	-	NM_017971	MRPL20	1342673
chr1	1353800	1356656	-	NM_001243536	ANKRD65	1356656
chr1	1353800	1356656	-	NM_001243535	ANKRD65	1356656
chr1	1353800	1356824	-	NM_001145210	ANKRD65	1356824
chr1	1353800	1356656	-	NM_001375659	ANKRD65	1356656
chr1	1353800	1356656	-	NM_001375660	ANKRD65	1356656
chr1	1361508	1363167	+	NM_001146685	TMEM88B	1361508
chr1	1365537	1369953	-	NR_125994	LINC01770	1369953
chr1	1365537	1369953	-	NR_125995	LINC01770	1369953
chr1	1365537	1369953	-	NR_125996	LINC01770	1369953
chr1	1371070	1378262	+	NM_022834	VWA1	1371070
chr1	1371070	1378262	+	NM_199121	VWA1	1371070
chr1	1385069	1405542	+	NM_001039211	ATAD3C	1385069
chr1	1407145	1433228	+	NM_031921	ATAD3B	1407145
chr1	1413229	1433228	+	NM_001317238	ATAD3B	1413229
chr1	1447542	1470065	+	NM_001170535	ATAD3A	1447542
chr1	1447542	1470065	+	NM_018188	ATAD3A	1447542
chr1	1447910	1470067	+	NM_001170536	ATAD3A	1447910
chr1	1470158	1476004	-	NM_001114748	TMEM240	1476004
chr1	1477053	1510243	-	NM_014188	SSU72	1510243
chr1	1533392	1535515	-	NM_001242659	FNDC10	1535515
chr1	1534813	1542590	+	NR_147951	LOC105378586	1534813
chr1	1550795	1565990	+	NM_001170688	MIB2	1550795
chr1	1550880	1565985	+	NM_001170687	MIB2	1550880
chr1	1550880	1565985	+	NM_001170686	MIB2	1550880
chr1	1550880	1565985	+	NR_033183	MIB2	1550880
chr1	1550880	1565985	+	NM_080875	MIB2	1550880
chr1	1551235	1552702	+	NR_146324	MIB2	1551235
chr1	1551235	1565985	+	NM_001170689	MIB2	1551235
chr1	1567552	1570030	+	NM_006983	MMP23B	1567552
chr1	1568159	1570027	+	NR_002946	MMP23A	1568159
chr1	1570603	1655769	-	NM_033490	CDK11B	1655769
chr1	1570603	1655769	-	NM_033489	CDK11B	1655769
chr1	1570603	1655769	-	NM_033487	CDK11B	1655769
chr1	1570603	1655769	-	NM_001291345	CDK11B	1655769
chr1	1570603	1655769	-	NM_001787	CDK11B	1655769
chr1	1570603	1655769	-	NM_033486	CDK11B	1655769
chr1	1592939	1624234	-	NM_001110781	SLC35E2B	1624234
chr1	1592939	1624234	-	NM_001290264	SLC35E2B	1624234
chr1	1631378	1633247	+	NR_002946_2	MMP23A	1631378
chr1	1633818	1655796	-	NM_033529	CDK11A	1655796
chr1	1633818	1655796	-	NR_132740	CDK11A	1655796
chr1	1633818	1655796	-	NM_001313982	CDK11A	1655796
chr1	1633818	1655796	-	NR_132739	CDK11A	1655796
chr1	1633818	1655796	-	NM_001313896	CDK11A	1655796
chr1	1633818	1655796	-	NM_024011	CDK11A	1655796
chr1	1656277	1677438	-	NM_001199787	SLC35E2A	1677438
chr1	1658824	1677438	-	NM_182838	SLC35E2A	1677438
chr1	1682671	1710255	-	NM_001198993	NADK	1710255
chr1	1682671	1711470	-	NM_001198994	NADK	1711470
chr1	1682671	1711470	-	NM_001353641	NADK	1711470
chr1	1682671	1690081	-	NM_001198995	NADK	1690081
chr1	1682671	1709909	-	NM_023018	NADK	1709909
chr1	1682671	1709909	-	NM_001353642	NADK	1709909
chr1	1716724	1822556	-	NM_001282539	GNB1	1822556
chr1	1716724	1822556	-	NM_001282538	GNB1	1822556
chr1	1716725	1822526	-	NM_002074	GNB1	1822526
chr1	1846699	1848735	+	NM_001330313	CALML6	1846699
chr1	1846699	1848735	+	NM_138705	CALML6	1846699
chr1	1849030	1850718	-	NM_178545	TMEM52	1850718
chr1	1853396	1935225	-	NM_001304360	CFAP74	1935225
chr1	1950784	1962197	+	NM_000815	GABRD	1950784
chr1	1980640	1981509	-	NR_135509	LOC105378591	1981509
chr1	1981850	2116834	+	NM_002744	PRKCZ	1981850
chr1	2004901	2116838	+	NM_001350804	PRKCZ	2004901
chr1	2004901	2116838	+	NM_001350803	PRKCZ	2004901
chr1	2004901	2116838	+	NM_001350806	PRKCZ	2004901
chr1	2004901	2116838	+	NM_001033581	PRKCZ	2004901
chr1	2004901	2116838	+	NR_146911	PRKCZ	2004901
chr1	2005425	2116838	+	NM_001350805	PRKCZ	2005425
chr1	2005425	2116838	+	NM_001242874	PRKCZ	2005425
chr1	2036155	2116838	+	NM_001033582	PRKCZ	2036155
chr1	2113233	2115314	-	NR_146290	PRKCZ-AS1	2115314
chr1	2115899	2126214	-	NM_001282673	FAAP20	2126214
chr1	2115899	2139172	-	NM_001146310	FAAP20	2139172
chr1	2115899	2126214	-	NM_001282672	FAAP20	2126214
chr1	2115899	2126214	-	NM_001282671	FAAP20	2126214
chr1	2115899	2126214	-	NM_001256945	FAAP20	2126214
chr1	2120988	2126214	-	NR_046427	FAAP20	2126214
chr1	2120988	2144159	-	NM_001282670	FAAP20	2144159
chr1	2120988	2126211	-	NM_182533	FAAP20	2126211
chr1	2120988	2126214	-	NM_001256947	FAAP20	2126214
chr1	2123334	2126214	-	NM_001256946	FAAP20	2126214
chr1	2159758	2241652	+	NM_003036	SKI	2159758
chr1	2252692	2322993	-	NM_024848	MORN1	2322993
chr1	2281854	2284100	-	NR_024489	LOC100129534	2284100
chr1	2286594	2322993	-	NM_001301060	MORN1	2322993
chr1	2306293	2322993	-	NR_125361	MORN1	2322993
chr1	2323280	2336875	+	NM_007033	RER1	2323280
chr1	2335413	2345266	-	NM_001374426	PEX10	2345266
chr1	2335413	2344003	-	NM_001374425	PEX10	2344003
chr1	2335413	2344003	-	NM_002617	PEX10	2344003
chr1	2335413	2344003	-	NM_153818	PEX10	2344003
chr1	2335413	2345266	-	NM_001374427	PEX10	2345266
chr1	2335413	2345266	-	NR_164636	PEX10	2345266
chr1	2398890	2436971	+	NM_001303012	PLCH2	2398890
chr1	2407728	2436971	+	NM_014638	PLCH2	2407728
chr1	2407754	2436969	+	NM_001303013	PLCH2	2407754
chr1	2439976	2458035	-	NM_018216	PANK4	2458035
chr1	2460184	2461702	-	NM_001010926	HES5	2461702
chr1	2481359	2488450	-	NR_037844	TNFRSF14-AS1	2488450
chr1	2487804	2497061	+	NM_003820	TNFRSF14	2487804
chr1	2487804	2497061	+	NM_001297605	TNFRSF14	2487804
chr1	2497974	2515973	+	NR_121638	LOC100996583	2497974
chr1	2517962	2522907	+	NR_036637	PRXL2B	2517962
chr1	2517962	2522907	+	NR_036638	PRXL2B	2517962
chr1	2518216	2522907	+	NM_001195737	PRXL2B	2518216
chr1	2518216	2522907	+	NM_001195741	PRXL2B	2518216
chr1	2518216	2522907	+	NM_001195736	PRXL2B	2518216
chr1	2518216	2522907	+	NM_001195738	PRXL2B	2518216
chr1	2518216	2522907	+	NM_152371	PRXL2B	2518216
chr1	2518216	2522907	+	NM_001195740	PRXL2B	2518216
chr1	2522079	2564455	-	NM_033467	MMEL1	2564455
chr1	2572708	2717433	-	NM_001242672	TTC34	2717433
chr1	2938031	2939467	+	NM_080431	ACTRT2	2938031
chr1	2976181	2984289	-	NR_015440	PRDM16-DT	2984289
chr1	2980636	2984289	-	NR_024371	PRDM16-DT	2984289
chr1	2985767	3355185	+	NM_022114	PRDM16	2985767
chr1	2985767	3355185	+	NM_199454	PRDM16	2985767
chr1	3044539	3044599	+	NR_036215	MIR4251	3044539
chr1	3371229	3397677	+	NM_014448	ARHGEF16	3371229
chr1	3404515	3528072	-	NM_001409	MEGF6	3528072
chr1	3477260	3477354	-	NR_030277	MIR551A	3477354
chr1	3541579	3546691	+	NM_182752	TPRG1L	3541579
chr1	3547334	3566667	-	NM_017818	WRAP73	3566667
chr1	3569080	3652765	+	NM_005427	TP73	3569080
chr1	3569080	3652765	+	NM_001204185	TP73	3569080
chr1	3569080	3652765	+	NM_001204184	TP73	3569080
chr1	3569080	3652765	+	NM_001204186	TP73	3569080
chr1	3569129	3652765	+	NM_001204187	TP73	3569129
chr1	3569129	3652765	+	NM_001204188	TP73	3569129
chr1	3607236	3652765	+	NM_001204189	TP73	3607236
chr1	3607236	3652765	+	NM_001126242	TP73	3607236
chr1	3607236	3652765	+	NM_001204191	TP73	3607236
chr1	3607236	3652765	+	NM_001204190	TP73	3607236
chr1	3607236	3652765	+	NM_001126241	TP73	3607236
chr1	3607236	3652765	+	NM_001126240	TP73	3607236
chr1	3614610	3652765	+	NM_001204192	TP73	3614610
chr1	3652548	3663335	-	NR_033712	TP73-AS1	3663335
chr1	3652548	3663937	-	NR_033711	TP73-AS1	3663937
chr1	3652548	3663937	-	NR_033709	TP73-AS1	3663937
chr1	3652548	3663937	-	NR_033710	TP73-AS1	3663937
chr1	3652548	3663937	-	NR_033708	TP73-AS1	3663937
chr1	3669014	3688209	+	NM_152492	CCDC27	3669014
chr1	3689325	3692546	+	NM_001288583	SMIM1	3689325
chr1	3689351	3692546	+	NM_001163724	SMIM1	3689351
chr1	3695123	3713062	-	NM_020710	LRRC47	3713062
chr1	3728651	3773775	-	NM_014704	CEP104	3773775
chr1	3773831	3801993	+	NM_001282669	DFFB	3773831
chr1	3774040	3801993	+	NR_104222	DFFB	3774040
chr1	3774040	3801993	+	NM_001320132	DFFB	3774040
chr1	3774040	3801993	+	NM_004402	DFFB	3774040
chr1	3774040	3801993	+	NM_001320136	DFFB	3774040
chr1	3774040	3801993	+	NR_135151	DFFB	3774040
chr1	3774040	3801993	+	NR_135150	DFFB	3774040
chr1	3774040	3801993	+	NR_135152	DFFB	3774040
chr1	3805697	3816836	-	NM_207356	C1orf174	3816836
chr1	3816968	3832011	+	NR_024455	LINC01134	3816968
chr1	4000672	4012643	+	NR_040065	LINC01346	4000672
chr1	4007209	4009040	-	NR_147024	LINC01345	4009040
chr1	4472111	4484744	+	NR_027088	LINC01777	4472111
chr1	4631547	4643764	+	NR_147025	LINC01646	4631547
chr1	4714669	4852582	+	NM_018836	AJAP1	4714669
chr1	4714669	4837855	+	NM_001042478	AJAP1	4714669
chr1	5922732	5922801	-	NR_039838	MIR4689	5922801
chr1	5922871	6052485	-	NM_001291594	NPHP4	6052485
chr1	5922871	6052485	-	NM_001291593	NPHP4	6052485
chr1	5922871	6052485	-	NM_015102	NPHP4	6052485
chr1	5922871	6052485	-	NR_111987	NPHP4	6052485
chr1	6052736	6161240	+	NM_001199861	KCNAB2	6052736
chr1	6086393	6161240	+	NM_172130	KCNAB2	6086393
chr1	6086393	6161240	+	NM_003636	KCNAB2	6086393
chr1	6094748	6161240	+	NM_001199860	KCNAB2	6094748
chr1	6105948	6161240	+	NM_001199863	KCNAB2	6105948
chr1	6105948	6161240	+	NM_001199862	KCNAB2	6105948
chr1	6161847	6240381	-	NM_015557	CHD5	6240381
chr1	6245080	6259655	-	NM_000983	RPL22	6259655
chr1	6264900	6265840	-	NR_125997	LOC102724450	6265840
chr1	6266179	6281359	+	NM_207396	RNF207	6266179
chr1	6281253	6296024	-	NM_012405	ICMT	6296024
chr1	6296300	6299502	+	NR_103534	LINC00337	6296300
chr1	6304239	6305638	+	NM_001024598	HES3	6304239
chr1	6307413	6321158	-	NM_207370	GPR153	6321158
chr1	6324332	6445828	-	NM_181864	ACOT7	6445828
chr1	6324332	6453826	-	NM_007274	ACOT7	6453826
chr1	6324332	6418989	-	NM_181866	ACOT7	6418989
chr1	6324332	6420774	-	NM_181865	ACOT7	6420774
chr1	6475294	6479979	-	NM_019089	HES2	6479979
chr1	6484836	6521004	+	NM_031475	ESPN	6484836
chr1	6484836	6521004	+	NM_001367473	ESPN	6484836
chr1	6484836	6521004	+	NM_001367474	ESPN	6484836
chr1	6489894	6489956	-	NR_036218	MIR4252	6489956
chr1	6521214	6526255	-	NM_003790	TNFRSF25	6526255
chr1	6521214	6526255	-	NM_148970	TNFRSF25	6526255
chr1	6521214	6526255	-	NM_148967	TNFRSF25	6526255
chr1	6521214	6526255	-	NM_148966	TNFRSF25	6526255
chr1	6521214	6526255	-	NM_148965	TNFRSF25	6526255
chr1	6524171	6526255	-	NM_001039664	TNFRSF25	6526255
chr1	6526152	6557156	-	NM_001265592	PLEKHG5	6557156
chr1	6526152	6551727	-	NM_020631	PLEKHG5	6551727
chr1	6526152	6546014	-	NM_001042665	PLEKHG5	6546014
chr1	6526152	6550640	-	NM_001265594	PLEKHG5	6550640
chr1	6526152	6550640	-	NM_001042664	PLEKHG5	6550640
chr1	6526152	6557504	-	NM_001042663	PLEKHG5	6557504
chr1	6526152	6580121	-	NM_198681	PLEKHG5	6580121
chr1	6526152	6545529	-	NM_001265593	PLEKHG5	6545529
chr1	6581407	6614573	-	NM_024654	NOL9	6614573
chr1	6615367	6639815	+	NM_177540	TAS1R1	6615367
chr1	6615367	6639815	+	NM_138697	TAS1R1	6615367
chr1	6640054	6649340	+	NM_001278648	ZBTB48	6640054
chr1	6640054	6649340	+	NM_001278647	ZBTB48	6640054
chr1	6640054	6649340	+	NM_005341	ZBTB48	6640054
chr1	6650784	6662929	-	NM_001324309	KLHL21	6662929
chr1	6650784	6662929	-	NM_014851	KLHL21	6662929
chr1	6673791	6684090	+	NM_153812	PHF13	6673791
chr1	6684925	6693642	+	NM_001195753	THAP3	6684925
chr1	6685210	6695646	+	NM_138350	THAP3	6685210
chr1	6685210	6693642	+	NM_001195752	THAP3	6685210
chr1	6694230	6761876	-	NM_018198	DNAJC11	6761876
chr1	6784805	6790072	+	NR_104620	LINC01672	6784805
chr1	6787587	6790072	+	NR_104621	LINC01672	6787587
chr1	6843952	6845040	-	NR_149049	CAMTA1-DT	6845040
chr1	6845384	6948261	+	NR_146202	CAMTA1	6845384
chr1	6845384	6948261	+	NM_001242701	CAMTA1	6845384
chr1	6845384	6948261	+	NR_038934	CAMTA1	6845384
chr1	6845514	6948261	+	NR_146203	CAMTA1	6845514
chr1	6845514	7829766	+	NM_001349610	CAMTA1	6845514
chr1	6845514	6932074	+	NR_146204	CAMTA1	6845514
chr1	6845514	7829766	+	NM_001349609	CAMTA1	6845514
chr1	6845514	7829766	+	NM_015215	CAMTA1	6845514
chr1	6845514	7829766	+	NM_001349612	CAMTA1	6845514
chr1	6845514	6932074	+	NM_001195563	CAMTA1	6845514
chr1	6845514	6932074	+	NM_001349627	CAMTA1	6845514
chr1	6845514	7829766	+	NM_001349608	CAMTA1	6845514
chr1	7442548	7449814	-	NR_146199	CAMTA1-AS2	7449814
chr1	7448243	7449814	-	NR_146201	CAMTA1-AS2	7449814
chr1	7448243	7449814	-	NR_146200	CAMTA1-AS2	7449814
chr1	7729790	7829766	+	NM_001349623	CAMTA1	7729790
chr1	7729790	7829766	+	NM_001349621	CAMTA1	7729790
chr1	7729790	7829766	+	NM_001349614	CAMTA1	7729790
chr1	7729790	7829766	+	NM_001349620	CAMTA1	7729790
chr1	7729804	7829766	+	NM_001349625	CAMTA1	7729804
chr1	7729825	7829766	+	NM_001349617	CAMTA1	7729825
chr1	7740148	7829766	+	NM_001349613	CAMTA1	7740148
chr1	7764796	7829766	+	NM_001349619	CAMTA1	7764796
chr1	7764796	7829766	+	NM_001349616	CAMTA1	7764796
chr1	7764796	7829766	+	NM_001349624	CAMTA1	7764796
chr1	7764796	7829766	+	NM_001349622	CAMTA1	7764796
chr1	7764796	7829766	+	NM_001349618	CAMTA1	7764796
chr1	7764796	7829766	+	NM_001349626	CAMTA1	7764796
chr1	7764796	7829766	+	NM_001349615	CAMTA1	7764796
chr1	7831356	7841492	+	NM_004781	VAMP3	7831356
chr1	7844247	7905237	+	NM_001289864	PER3	7844247
chr1	7844247	7905237	+	NM_001289863	PER3	7844247
chr1	7844247	7905237	+	NM_016831	PER3	7844247
chr1	7844489	7905240	+	NM_001289862	PER3	7844489
chr1	7844489	7905240	+	NM_001289861	PER3	7844489
chr1	7907672	7913125	-	NM_006786	UTS2	7913125
chr1	7907672	7913551	-	NM_021995	UTS2	7913551
chr1	7975931	8000899	-	NM_001561	TNFRSF9	8000899
chr1	8021714	8045342	+	NM_001123377	PARK7	8021714
chr1	8021771	8045565	+	NM_007262	PARK7	8021771
chr1	8071787	8086369	-	NM_018948	ERRFI1	8086369
chr1	8268732	8275268	+	NR_125998	LINC01714	8268732
chr1	8378174	8404225	+	NM_001080397	SLC45A1	8378174
chr1	8412464	8483892	-	NM_001042682	RERE	8483892
chr1	8412464	8877699	-	NM_012102	RERE	8877699
chr1	8412464	8877699	-	NM_001042681	RERE	8877699
chr1	8484705	8495076	+	NR_125999	RERE-AS1	8484705
chr1	8554860	8554973	-	NR_132752	SNORD128	8554973
chr1	8921059	8938745	-	NM_001201483	ENO1	8938745
chr1	8921059	8938745	-	NM_001428	ENO1	8938745
chr1	8921059	8938745	-	NM_001353346	ENO1	8938745
chr1	8926561	8926649	-	NR_106786	MIR6728	8926649
chr1	8938894	8939943	+	NR_038351	ENO1-AS1	8938894
chr1	9005927	9035148	+	NM_001215	CA6	9005927
chr1	9005927	9034503	+	NM_001270500	CA6	9005927
chr1	9005927	9035148	+	NM_001270501	CA6	9005927
chr1	9005927	9035148	+	NM_001270502	CA6	9005927
chr1	9063359	9086404	-	NM_207420	SLC2A7	9086404
chr1	9095165	9132318	-	NM_001328619	SLC2A5	9132318
chr1	9095165	9129694	-	NM_003039	SLC2A5	9129694
chr1	9095165	9129694	-	NM_001328621	SLC2A5	9129694
chr1	9095165	9129694	-	NM_001328620	SLC2A5	9129694
chr1	9100139	9129694	-	NM_001135585	SLC2A5	9129694
chr1	9160364	9189161	-	NM_024980	GPR157	9189161
chr1	9208070	9242397	-	NR_132742	MIR34AHG	9242397
chr1	9211727	9211836	-	NR_029610	MIR34A	9211836
chr1	9242263	9252144	+	NR_132738	LNCTAM34A	9242263
chr1	9294833	9331394	+	NM_004285	H6PD	9294833
chr1	9299906	9331394	+	NM_001282587	H6PD	9299906
chr1	9352953	9429590	+	NM_025106	SPSB1	9352953
chr1	9485153	9488975	-	NR_104623	LINC02606	9488975
chr1	9485153	9489055	-	NR_104622	LINC02606	9489055
chr1	9599524	9645231	+	NM_032315	SLC25A33	9599524
chr1	9648969	9665007	+	NM_001010866	TMEM201	9648969
chr1	9648969	9674935	+	NM_001130924	TMEM201	9648969
chr1	9711789	9789172	+	NM_005026	PIK3CD	9711789
chr1	9712668	9714644	-	NR_027045	PIK3CD-AS1	9714644
chr1	9732484	9747632	-	NR_126366	PIK3CD-AS2	9747632
chr1	9732484	9747632	-	NR_126367	PIK3CD-AS2	9747632
chr1	9740903	9747632	-	NR_126368	PIK3CD-AS2	9747632
chr1	9749602	9789172	+	NM_001350234	PIK3CD	9749602
chr1	9751525	9788980	+	NM_001350235	PIK3CD	9751525
chr1	9788984	9884023	-	NM_001009566	CLSTN1	9884023
chr1	9789079	9884584	-	NM_014944	CLSTN1	9884584
chr1	9789079	9884584	-	NM_001302883	CLSTN1	9884584
chr1	9908334	9970327	-	NM_020248	CTNNBIP1	9970327
chr1	9908334	9970327	-	NM_001012329	CTNNBIP1	9970327
chr1	9982176	10003449	-	NM_001316975	LZIC	10003449
chr1	9986351	10003449	-	NM_001316973	LZIC	10003449
chr1	9986351	10003449	-	NM_001316976	LZIC	10003449
chr1	9986351	10003449	-	NM_032368	LZIC	10003449
chr1	9986351	10003449	-	NM_001316974	LZIC	10003449
chr1	10002981	10045556	+	NM_001297778	NMNAT1	10002981
chr1	10003533	10045556	+	NM_022787	NMNAT1	10003533
chr1	10003533	10041824	+	NM_001297779	NMNAT1	10003533
chr1	10010630	10020845	-	NR_158969	TMEM274P	10020845
chr1	10027439	10027516	+	NR_049882	MIR5697	10027439
chr1	10057286	10076079	+	NM_052960	RBP7	10057286
chr1	10057286	10076079	+	NR_138250	RBP7	10057286
chr1	10093016	10241296	+	NM_001105562	UBE4B	10093016
chr1	10093016	10241296	+	NM_006048	UBE4B	10093016
chr1	10270628	10441661	+	NM_001365951	KIF1B	10270628
chr1	10270628	10368655	+	NM_183416	KIF1B	10270628
chr1	10270764	10441661	+	NM_015074	KIF1B	10270764
chr1	10271674	10441661	+	NM_001365952	KIF1B	10271674
chr1	10290822	10368655	+	NM_001365953	KIF1B	10290822
chr1	10359024	10359128	+	NR_004394	RNU6-1	10359024
chr1	10359024	10359128	+	NR_104080	RNU6-9	10359024
chr1	10359024	10359128	+	NR_104084	RNU6-7	10359024
chr1	10359024	10359128	+	NR_104088	RNU6-8	10359024
chr1	10359024	10359128	+	NR_125730	RNU6-2	10359024
chr1	10459121	10480568	+	NM_001304452	PGD	10459121
chr1	10459121	10480568	+	NM_001304451	PGD	10459121
chr1	10459121	10480568	+	NM_002631	PGD	10459121
chr1	10490490	10502865	+	NM_199294	CENPS	10490490
chr1	10490490	10512210	+	NM_199006	CENPS-CORT	10490490
chr1	10490490	10512210	+	NM_198544	CENPS-CORT	10490490
chr1	10490490	10512210	+	NM_001270517	CENPS-CORT	10490490
